Name,Team,MoP
Abdul Rahman,PSM Makassar,762
Achmad Maulana Syarif,Arema,2176
Achmad Zidan Arrosyid,PSS Sleman,41
Achmat Fahrul Aditia,PSM Makassar,251
Aditiya Daffa Al Haqi,Barito Putera,1095
Aditya Warman,Persija Jakarta,52
Ahmad Fahd Alchoir,Persita Tangerang,520
Ahmad Rusadi,Madura United,1155
Ahmad Wadil Aryadi Abidin,Malut United,636
Alfan Suaib,Persebaya Surabaya,341
Alfriyanto Nico Saputro,Dewa United,1670
Althaf Indie Alrizky,Persis Solo,2247
Ananda Raehan Alief,PSM Makassar,1377
Andre Oktaviansyah,Persebaya Surabaya,329
Andrean Benyamin Rindorindo,Persita Tangerang,446
Andriano Saputra,Persita Tangerang,133
Arjuna Agung,PSBS Biak,323
Arkhan Fikri,Arema,2409
Arkhan Kaka Putra Purwanto,Persis Solo,489
Armando Obet Oropa,PSBS Biak,641
Arsa Ramadhan Ahmad,Madura United,530
Asgal Habib Altarik,Borneo FC,3
Azyah Nur Faizin Madilesa,PSIS Semarang,4
Barnabas Sobor,PSBS Biak,46
Brandon Marsel Scheunemann,Arema,3
Brandon Marsel Scheunemann,PSIS Semarang,2
Cloudio Faiera Mutzi,PSS Sleman,7
Cois Artomoro Raya,Persita Tangerang,19
Daffa Fasya Sumawijaya,Borneo FC,180
Dafiq Firdaus,Persita Tangerang,47
Damianus Adiman Putra,PSBS Biak,766
Dani Saputra,Dewa United,77
Dede Sapari,Persik Kediri,1100
Dewa Erlangga Sapalas,Semen Padang,73
Dia Syayid Alhawari,PSS Sleman,613
Dika Kuswardani,Borneo FC,245
Dillan Yabran Rinaldi,Bali United,1
Dominikus Dion Oktawiawan Wibowo,PSS Sleman,2019
Dony Tri Pamungkas,Persija Jakarta,821
Esal Shahrul Muhrom,Persita Tangerang,580
Febrian Tri Yanto,Madura United,100
Ferdiansyah Cecep,Persib Bandung,108
Ferian Rizki Maulana,Dewa United,1184
Firman Juliansyah,Semen Padang,1581
Firman Ramadhan,Malut United,843
Fransiskus Alesandro Nimo Olepue,Persis Solo,552
Gala Pagamo,Semen Padang,1237
Gilang Anugerah  Esa,Semen Padang,2
Gilang Oktavana Putra,PSS Sleman,36
Hamzah Titofani Rivaldi,Arema,266
