no,Klub,Registered AP,AP with minutes,> 900,AP minutes,%
7,Persija Jakarta,27,23,10,18946,56.29
1,Persib Bandung,18,16,7,16850,50.06
4,Persebaya Surabaya,19,15,7,15021,44.63
17,Barito Putera,20,12,5,10341,30.72
14,Persis Solo,15,13,3,10260,30.48
11,Persita Tangerang,19,12,5,8971,26.65
6,PSM Makassar,13,10,5,8730,25.94
8,Bali United,19,16,3,7953,23.63
18,PSIS Semarang,14,10,2,5594,16.62
16,PSS Sleman,18,8,2,4692,13.94
5,Borneo FC,14,13,1,4433,13.17
13,Semen Padang,10,7,2,3812,11.33
10,Arema FC,7,6,1,2060,6.12
2,Dewa United,6,2,1,1167,3.47
15,Madura United,4,3,0,815,2.42
12,Persik Kediri,5,2,0,246,0.73
9,PSBS Biak,1,1,0,31,0.09
3,Malut United,0,0,0,0,0.00
