Team,Ball Possession
Arema FC,52.3333333333333
Bali United FC,61.3333333333333
Bhayangkara Presisi Lampung FC,49.6666666666667
Borneo FC Samarinda,59.6666666666667
Dewa United Banten FC,60.6666666666667
Madura United FC,53.6666666666667
Malut United FC,38
PERSEBAYA Surabaya,45.3333333333333
PERSIB,53
PERSIJA,60.3333333333333
PERSIJAP,48
PERSIK Kediri,45.6666666666667
PERSIS,51.6666666666667
PERSITA,43.3333333333333
PSBS Biak,39
PSIM Yogyakarta,52.6666666666667
PSM Makassar,34
Semen Padang FC,51.6666666666667
