Team,Match,Tackle,Tackle Fail,Intercept,Clearance,Recovery,Foul
Arema FC,Arema FC - Bhayangkara Presisi Lampung FC,11,8,21,11,13,6
Arema FC,Arema FC - PSBS Biak,10,11,6,7,3,10
Arema FC,PSIM Yogyakarta - Arema FC,13,6,21,11,1,10
Bali United FC,Bali United FC - PERSIK Kediri,16,12,25,8,16,12
Bali United FC,Malut United FC - Bali United FC,10,8,24,15,1,12
Bali United FC,PERSEBAYA Surabaya - Bali United FC,6,14,23,6,12,16
Bhayangkara Presisi Lampung FC,Arema FC - Bhayangkara Presisi Lampung FC,23,9,27,21,9,10
Bhayangkara Presisi Lampung FC,Bhayangkara Presisi Lampung FC - PSM Makassar,9,4,17,13,9,12
Bhayangkara Presisi Lampung FC,Borneo FC Samarinda - Bhayangkara Presisi Lampung FC,16,9,11,22,9,15
Borneo FC Samarinda,Borneo FC Samarinda - Bhayangkara Presisi Lampung FC,22,9,15,20,6,13
Borneo FC Samarinda,Borneo FC Samarinda - PERSIJAP,7,9,22,20,12,9
Borneo FC Samarinda,PSBS Biak - Borneo FC Samarinda,8,5,23,7,10,11
Dewa United Banten FC,Dewa United Banten FC - Malut United FC,14,11,16,9,18,11
Dewa United Banten FC,Dewa United Banten FC - PERSIK Kediri,13,10,16,13,4,13
Dewa United Banten FC,Semen Padang FC - Dewa United Banten FC,18,11,21,12,10,10
Madura United FC,Madura United FC - PERSIS,16,5,23,12,8,9
Madura United FC,Madura United FC - PERSITA,16,10,22,12,26,13
Madura United FC,PERSIK Kediri - Madura United FC,29,12,31,11,0,11
Malut United FC,Dewa United Banten FC - Malut United FC,16,9,19,14,6,9
Malut United FC,Malut United FC - Bali United FC,14,8,16,10,19,7
Malut United FC,PERSIJA - Malut United FC,7,11,13,16,9,8
PERSEBAYA Surabaya,PERSEBAYA Surabaya - Bali United FC,14,10,13,11,13,8
PERSEBAYA Surabaya,PERSEBAYA Surabaya - PSIM Yogyakarta,9,15,24,17,12,13
PERSEBAYA Surabaya,PERSITA - PERSEBAYA Surabaya,17,7,15,20,6,14
PERSIB,PERSIB - Semen Padang FC,7,9,24,11,7,17
PERSIB,PERSIJAP - PERSIB,10,15,19,5,13,13
PERSIB,PSIM Yogyakarta - PERSIB,12,10,19,8,8,16
PERSIJA,PERSIJA - Malut United FC,14,15,17,8,14,18
PERSIJA,PERSIJA - PERSITA,3,16,28,9,15,14
PERSIJA,PERSIS - PERSIJA,20,8,22,10,5,9
PERSIJAP,Borneo FC Samarinda - PERSIJAP,17,9,9,14,3,11
PERSIJAP,PERSIJAP - PERSIB,8,9,18,18,20,18
PERSIJAP,PSM Makassar - PERSIJAP,17,9,25,12,14,8
PERSIK Kediri,Bali United FC - PERSIK Kediri,25,5,3,20,4,9
PERSIK Kediri,Dewa United Banten FC - PERSIK Kediri,10,11,33,10,8,13
PERSIK Kediri,PERSIK Kediri - Madura United FC,10,10,18,5,5,10
PERSIS,Madura United FC - PERSIS,7,10,16,16,1,13
PERSIS,PERSIS - PERSIJA,15,10,12,8,8,13
PERSIS,PSBS Biak - PERSIS,11,13,24,12,9,13
PERSITA,Madura United FC - PERSITA,16,14,14,15,14,12
PERSITA,PERSIJA - PERSITA,8,9,18,12,6,10
PERSITA,PERSITA - PERSEBAYA Surabaya,10,1,9,13,2,14
PSBS Biak,Arema FC - PSBS Biak,11,11,11,12,5,11
PSBS Biak,PSBS Biak - Borneo FC Samarinda,16,14,17,12,8,14
PSBS Biak,PSBS Biak - PERSIS,8,7,21,6,1,15
PSIM Yogyakarta,PERSEBAYA Surabaya - PSIM Yogyakarta,5,5,19,23,3,4
PSIM Yogyakarta,PSIM Yogyakarta - Arema FC,15,6,16,6,23,9
PSIM Yogyakarta,PSIM Yogyakarta - PERSIB,10,10,20,11,8,15
PSM Makassar,Bhayangkara Presisi Lampung FC - PSM Makassar,15,8,13,24,10,8
PSM Makassar,PSM Makassar - PERSIJAP,18,16,20,19,6,16
PSM Makassar,Semen Padang FC - PSM Makassar,10,5,18,10,5,5
Semen Padang FC,PERSIB - Semen Padang FC,13,8,18,11,3,13
Semen Padang FC,Semen Padang FC - Dewa United Banten FC,14,11,18,10,4,13
Semen Padang FC,Semen Padang FC - PSM Makassar,15,13,17,17,5,16
