GW,Tim Home,Tim Away,Total Match,Time Home,Time Away
1,Borneo FC Samarinda,Bhayangkara Presisi Lampung FC,0:43:07,0:22:32,0:20:35
1,PSM Makassar,PERSIJAP,0:34:09,0:12:53,0:21:16
1,PERSEBAYA Surabaya,PSIM Yogyakarta,0:43:13,0:22:00,0:21:13
1,PERSIB,Semen Padang FC,0:44:32,0:19:43,0:24:49
1,Dewa United Banten FC,Malut United FC,0:43:58,0:30:11,0:13:47
1,Madura United FC,PERSIS,0:50:29,0:28:38,0:21:51
1,Bali United FC,PERSIK Kediri,0:42:10,0:27:57,0:14:13
1,PERSIJA,PERSITA,0:45:32,0:27:38,0:17:54
1,Arema FC,PSBS Biak,0:50:58,0:29:06,0:21:52
2,Semen Padang FC,Dewa United Banten FC,0:46:24,0:17:17,0:29:07
2,Malut United FC,Bali United FC,0:50:49,0:19:12,0:31:37
2,PSIM Yogyakarta,Arema FC,0:48:44,0:24:12,0:24:32
2,PERSIK Kediri,Madura United FC,0:42:27,0:25:19,0:17:08
2,Bhayangkara Presisi Lampung FC,PSM Makassar,0:42:30,0:24:16,0:18:14
2,PERSITA,PERSEBAYA Surabaya,0:39:31,0:22:34,0:16:57
2,PERSIS,PERSIJA,0:46:21,0:23:19,0:23:02
2,PSBS Biak,Borneo FC Samarinda,0:48:55,0:15:40,0:33:15
2,PERSIJAP,PERSIB,0:34:08,0:12:44,0:21:24
3,Semen Padang FC,PSM Makassar,0:38:07,0:25:28,0:12:39
3,Arema FC,Bhayangkara Presisi Lampung FC,0:39:19,0:21:52,0:17:27
3,Dewa United Banten FC,PERSIK Kediri,0:51:09,0:26:16,0:24:53
3,PERSIJA,Malut United FC,0:47:02,0:27:52,0:19:10
3,PSBS Biak,PERSIS,0:43:27,0:19:26,0:24:01
3,PERSEBAYA Surabaya,Bali United FC,0:43:40,0:16:26,0:27:14
3,Borneo FC Samarinda,PERSIJAP,0:43:03,0:25:20,0:17:43
3,PSIM Yogyakarta,PERSIB,0:42:53,0:21:51,0:21:02
3,Madura United FC,PERSITA,0:45:56,0:28:01,0:17:55
