Club Name,Players Registered,Players with Minutes,Adjusted Total Games,Adjusted Total Minutes
Borneo FC,26,22,157,7624
Dewa United,13,8,88,5208
Madura United,6,3,15,452
Persija Jakarta,63,56,594,33986
PSBS Biak,2,1,1,31
PSS Sleman,31,20,199,10812
Barito Putera,31,22,277,17267
Malut United,0,0,0,0
Persita Tangerang,27,20,221,11316
PSM Makassar,25,21,241,12200
PSIS Semarang,23,18,189,10536
Persebaya Surabaya,35,30,357,22474
Semen Padang,14,11,116,6686
Persik Kediri,9,6,26,1356
Bali United,38,33,334,18189
Persib Bandung,39,35,441,29637
Persis Solo,23,21,206,9570
Arema,16,11,85,3264
