Club now,Name,Pos,DOB,Minutes,Games,Youth Club,Competition
Persib Bandung,Sheva Sanggasi,GK,2004-05-01,13,1,Persib Bandung,BRI Liga 1
Persib Bandung,Fitrah Maulana,GK,2006-05-24,0,0,Persib Bandung,BRI Liga 1
Persib Bandung,Kakang Rudianto,DF,2003-02-02,2023,25,Persib Bandung,BRI Liga 1
Persib Bandung,Zulkifli Lukmansyah,DF,2006-09-08,0,0,Persib Bandung,BRI Liga 1
Persib Bandung,Robi Darwis,MF,2003-08-02,702,17,Persib Bandung,BRI Liga 1
Persib Bandung,M Adzikry Fadlillah,MF,2003-02-26,24,4,Persib Bandung,BRI Liga 1
Persib Bandung,Beckham Putra Nugraha,MF,2001-10-29,1829,29,Persib Bandung,BRI Liga 1
Persib Bandung,Ferdiansyah,MF,2003-07-15,106,7,Persib Bandung,BRI Liga 1
Malut United,Firman Ramadhan,DF,2003-11-07,840,16,Persib Bandung,BRI Liga 1
Malut United,Darrel Valentino,MF,2005-05-06,238,6,Persib Bandung,BRI Liga 1
Borneo FC,Fajar Fathurrahman,DF,2002-05-29,2820,33,Persib Bandung,BRI Liga 1
PSM Makassar,Arham Darmawan,WG,2006-06-20,19,6,Persib Bandung,BRI Liga 1
Bali United,Taufik Hidayat,FW,1999-12-16,29,1,Persib Bandung,BRI Liga 1
Persita Tangerang,Mario Jardel,DF,2000-11-07,2717,31,Persib Bandung,BRI Liga 1
Persik Kediri,Dede Sapari,DF,2004-04-08,1098,20,Persib Bandung,BRI Liga 1
Semen Padang,Bima Reksa,DF,1999-06-21,748,12,Persib Bandung,BRI Liga 1
Persis Solo,Althaf Indie,WG,2003-01-06,2249,32,Persib Bandung,BRI Liga 1
PSIS Semarang,Adi Satryo,GK,2001-07-07,1395,17,Persib Bandung,BRI Liga 1
PSPS,Erlangga Setyo,GK,2003-04-16,536,6,Persib Bandung,Pegadaian Liga 2
Dejan FC,Duta Atapelwa,MF,2001-01-28,1250,16,Persib Bandung,Pegadaian Liga 2
Dejan FC,Yadi Mulyadi,WG,2002-02-11,290,6,Persib Bandung,Pegadaian Liga 2
Persikabo,Abdul Latif,WG,2003-02-26,627,9,Persib Bandung,Pegadaian Liga 2
PSIM,Arlyansyah Abdul Manan,WG,2005-12-20,833,12,Persib Bandung,Pegadaian Liga 2
Persijap,Rahmat Hidayat,DF,2002-06-19,1911,22,Persib Bandung,Pegadaian Liga 2
Persijap,Zahran Alamsah,MF,2003-08-06,642,5,Persib Bandung,Pegadaian Liga 2
Adhyaksa,Tabroni,DF,2002-04-22,0,0,Persib Bandung,Pegadaian Liga 2
Adhyaksa,Dimas Pamungkas,DF,2004-07-31,1057,18,Persib Bandung,Pegadaian Liga 2
Adhyaksa,Galuh Nata,MF,2002-03-01,1152,16,Persib Bandung,Pegadaian Liga 2
Nusantara,Bhima Wibnu,DF,2000-01-07,1647,20,Persib Bandung,Pegadaian Liga 2
Nusantara,Jovan Al Ghony,MF,2000-04-13,1210,19,Persib Bandung,Pegadaian Liga 2
Nusantara,Faisal Rizky,MF,2003-07-15,36,1,Persib Bandung,Pegadaian Liga 2
Persiku,Satrio Azhar,GK,2001-05-16,270,3,Persib Bandung,Pegadaian Liga 2
Persiku,Abi Defa,MF,1999-10-05,571,11,Persib Bandung,Pegadaian Liga 2
Persikas Subang,Razan Akbar,DF,2005-02-24,731,9,Persib Bandung,Pegadaian Liga 2
Persibo,Hadi Ardiansyah,DF,2000-12-01,552,8,Persib Bandung,Pegadaian Liga 2
Persibo,Diandra Diaz,MF,2004-02-01,1168,17,Persib Bandung,Pegadaian Liga 2
Persibo,Ardi Maulana,MF,2001-02-25,830,18,Persib Bandung,Pegadaian Liga 2
Persibo,Fajar Ihsanudin,MF,2004-02-11,402,13,Persib Bandung,Pegadaian Liga 2
