Name,Team,Competition,Minutes
Achmad Maulana Syarif,Arema,Liga 1,211
Agusti Ardiansyah,Arema,Liga 1,0
Arkhan Fikri,Arema,Liga 1,1849
Aswin,Arema,Liga 1,0
Fikri Arjidan,Arema,Liga 1,26
Muhammad Dimas Aryaguna,Arema,Liga 1,0
Muhammad Iksan Lestaluhu,Arema,Liga 1,736
Salim Akbar Tuharea,Arema,Liga 1,698
Teuku Razzaa Fachrezi Aziz,Arema,Liga 1,4
Dewa Gede Aris Sanjaya,Bali United,Liga 1,0
I Komang Dedi Nova Tri Gunawan,Bali United,Liga 1,0
I Made Tito Wiratama,Bali United,Liga 1,198
I Putu Panji Apriawan,Bali United,Liga 1,0
I Wayan Arta Wiguna,Bali United,Liga 1,0
Jens Raven,Bali United,Liga 1,406
Kadek Arel Priyatna,Bali United,Liga 1,2193
Maouri Ananda Yves Ramli Simon,Bali United,Liga 1,288
Nathan Ari Pramana,Bali United,Liga 1,0
Rahmat Arjuna Reski,Bali United,Liga 1,1698
Reyner Immanuelo Barusu,Bali United,Liga 1,269
Evandra Florasta,Bhayangkara Presisi Lampung FC,Liga 1,35
Fadly Alberto Hengga,Bhayangkara Presisi Lampung FC,Liga 1,0
Ferre Murari,Bhayangkara Presisi Lampung FC,Liga 1,0
Frengky Deaner Missa,Bhayangkara Presisi Lampung FC,Liga 1,1260
Ginanjar Wahyu Ramadhani,Bhayangkara Presisi Lampung FC,Liga 1,264
Ji Da Bin,Bhayangkara Presisi Lampung FC,Liga 1,0
Muhammad Ferarri,Bhayangkara Presisi Lampung FC,Liga 1,783
Rahmat Syawal,Bhayangkara Presisi Lampung FC,Liga 1,0
Sultan Jabbar Hilmansyah,Bhayangkara Presisi Lampung FC,Liga 1,0
Ikhsan Nul Zikrak,Borneo FC,Liga 1,314
Reyki Fariz Ramadhan,Borneo FC,Liga 1,0
Andhika Putra Setiawan,Borneo FC,Liga 1,0
Dika Adi Nurdiansyah,Borneo FC,Liga 1,3
Risnanda Fausta Rafa,Borneo FC,Liga 1,0
Camara Ousmane Maiket,Borneo FC,Liga 1,0
Daffa Fasya Sumawijaya,Borneo FC,Liga 1,0
Dika Kuswardani,Borneo FC,Liga 1,42
Muh. Dwiky Hardiansyah,Borneo FC,Liga 1,415
Muh. Redzuan Fachgi,Borneo FC,Liga 1,29
Muhamad Rayhan Putra Utina,Borneo FC,Liga 1,0
Muhammad Alfharezzi Buffon,Borneo FC,Liga 1,1394
Muhammad Narendra Tegar Islami,Borneo FC,Liga 1,0
Rivaldo Enero Pakpahan,Borneo FC,Liga 1,2211
Dafa Al Gasemi Setiawarman,Dewa United,Liga 1,0
Ivar Jenner,Dewa United,Liga 1,962
Muhammad Kafiatur Rizky,Dewa United,Liga 1,329
Muhammad Tores Aziz Khadafi,Dewa United,Liga 1,0
Rafael William Struick,Dewa United,Liga 1,646
Rizdjar Nurviat Subagja,Dewa United,Liga 1,588
Tristan Raissa Ibrahim,Dewa United,Liga 1,0
Fransiskus Alesandro Nimo Olepue,Madura United,Liga 1,1313
Ahmad Rusadi,Madura United,Liga 1,1240
Ferian Rizki Maulana,Madura United,Liga 1,548
M Riski Afrisal,Madura United,Liga 1,279
Rendy Razzaqu Mochtar,Madura United,Liga 1,0
Yuda Editya Pratama,Madura United,Liga 1,45
Ali Syafiq Al Habsyi,Malut United,Liga 1,0
Fahran Darwan,Malut United,Liga 1,0
Kanavaro Burere,Malut United,Liga 1,0
Muhammad Risky Safri,Malut United,Liga 1,0
Rangga Bolang,Malut United,Liga 1,0
Mardani Majid,Malut United,Liga 1,0
Mohamed Kemal Zahir Fazya,Malut United,Liga 1,0
Ridho Syuhada Putra,Malut United,Liga 1,576
Taufik Rustam,Malut United,Liga 1,813
Tri Setiawan,Malut United,Liga 1,832
Ahmad Mujtaba Ilham Akbar,Persebaya Surabaya,Liga 1,0
Aleandro Alan Maulana,Persebaya Surabaya,Liga 1,9
Adre Arido Geovani,Persebaya Surabaya,Liga 1,0
Alfan Suaib,Persebaya Surabaya,Liga 1,193
Dimas Wicaksono Putra Rahman,Persebaya Surabaya,Liga 1,150
Mikael Alfredo Tata,Persebaya Surabaya,Liga 1,415
Moch Ichsas Baihaqi,Persebaya Surabaya,Liga 1,185
Muhammad Ilham Al-arif,Persebaya Surabaya,Liga 1,0
Sadida Nugraha Putra,Persebaya Surabaya,Liga 1,417
Sheva Kardanu Setiawan,Persebaya Surabaya,Liga 1,0
Toni Firmansyah,Persebaya Surabaya,Liga 1,1861
Athaya Zahran,Persib Bandung,Liga 1,0
Dion Wilhelmus Eddy Markx,Persib Bandung,Liga 1,3
Fitrah Maulana M. Ridwan,Persib Bandung,Liga 1,180
Kakang Rudianto,Persib Bandung,Liga 1,1902
Kevin Muhammad Islami Pasha,Persib Bandung,Liga 1,0
