Team,Competition,Name,DoB,Age,Nationality,MOP
AREMA FC,BRI SUPER LEAGUE 2025-26,ANDRIAN CASVARI,6/30/99,26,Indonesia,0
AREMA FC,BRI SUPER LEAGUE 2025-26,BAYU SETIAWAN,12/27/98,27,Indonesia,1030
AREMA FC,BRI SUPER LEAGUE 2025-26,DALBERTO LUAN BELO,9/15/94,31,Brasil,2343
AREMA FC,BRI SUPER LEAGUE 2025-26,DEDIK SETIAWAN,6/27/94,31,Indonesia,395
AREMA FC,BRI SUPER LEAGUE 2025-26,DENDY SANTOSO,5/16/90,36,Indonesia,176
AREMA FC,BRI SUPER LEAGUE 2025-26,DWIKI MARDIYANTO,3/21/00,26,Indonesia,83
AREMA FC,BRI SUPER LEAGUE 2025-26,GABRIEL SILVA COSTA,4/8/97,29,Brasil,1430
AREMA FC,BRI SUPER LEAGUE 2025-26,GIANLUCA CLAUDIO PANDEYNUWU,11/9/97,28,Indonesia,446
AREMA FC,BRI SUPER LEAGUE 2025-26,GILDSON PABLO DE OLIVEIRA SILVA,5/24/95,31,Brasil,118
AREMA FC,BRI SUPER LEAGUE 2025-26,GUSTAVO FRANCA AMADIO,4/24/98,28,Italy,1781
AREMA FC,BRI SUPER LEAGUE 2025-26,HANSAMU YAMA PRANATA,1/16/95,31,Indonesia,1176
AREMA FC,BRI SUPER LEAGUE 2025-26,ILHAM RIO FAHMI,10/6/01,24,Indonesia,2059
AREMA FC,BRI SUPER LEAGUE 2025-26,JAYUS HARIONO,1/24/97,29,Indonesia,682
AREMA FC,BRI SUPER LEAGUE 2025-26,JOEL VINICIUS SILVA DOS ANJOS,11/25/94,31,Brasil,2431
AREMA FC,BRI SUPER LEAGUE 2025-26,JOHAN AHMAT FARIZI,5/25/90,36,Indonesia,2120
AREMA FC,BRI SUPER LEAGUE 2025-26,LEO GUNTARA,8/17/94,31,Indonesia,1717
AREMA FC,BRI SUPER LEAGUE 2025-26,LUCAS HENRIQUE FRIGERI,6/15/89,36,Brasil,1706
AREMA FC,BRI SUPER LEAGUE 2025-26,M.ANWAR RIFAI,1/23/01,25,Indonesia,379
AREMA FC,BRI SUPER LEAGUE 2025-26,MATHEUS DA CONCEIÇÃO NASCIMENTO,5/15/95,31,Brasil,2590
AREMA FC,BRI SUPER LEAGUE 2025-26,MUHAMMAD ADI SATRYO,7/7/01,24,Indonesia,1178
AREMA FC,BRI SUPER LEAGUE 2025-26,MUHAMMAD RIFAD MARASABESSY,7/7/99,26,Indonesia,433
AREMA FC,BRI SUPER LEAGUE 2025-26,ROBERTO PIMENTA VINAGRE FILHO,4/4/92,34,Brasil,2114
AREMA FC,BRI SUPER LEAGUE 2025-26,SAMUEL GIDEON BALINSA,3/8/99,27,Indonesia,413
