Team,Competition,Players with Minutes,Total Minutes,>= 900
Dewa United,Liga 1,4,2525,1
Persekat Tegal,Liga 2,12,5141,1
Persib Bandung,Liga 1,5,2228,1
Persita Tangerang,Liga 1,7,3056,1
Persiku Kudus,Liga 2,9,4536,1
Persis Solo,Liga 1,6,5343,2
Persijap Jepara,Liga 1,10,7421,3
PSIM Yogyakarta,Liga 1,4,5512,2
Persiba Balikpapan,Liga 2,13,8481,3
Persipura,Liga 2,8,4223,3
Sriwijaya FC,Liga 2,11,4743,1
Sumsel United,Liga 2,5,2742,2
Adhyaksa FC Banten,Liga 2,8,4621,1
Madura United,Liga 1,5,3425,2
Persik Kediri,Liga 1,4,2151,1
PSM Makassar,Liga 1,11,5451,3
PSPS Pekanbaru,Liga 2,12,9544,5
Kendal Tornado FC,Liga 2,11,3075,1
Arema,Liga 1,6,3524,1
Persija Jakarta,Liga 1,7,4138,2
Malut United,Liga 1,3,2221,0
Garudayaksa,Liga 2,5,3464,1
FC Bekasi City,Liga 2,11,6697,2
PSBS Biak,Liga 1,13,5653,2
Persipal FC,Liga 2,11,5812,1
Persiraja Banda Aceh,Liga 2,8,6933,4
Borneo FC,Liga 1,7,4408,2
Persikad Depok,Liga 2,10,7023,3
Barito Putera,Liga 2,10,6199,3
Semen Padang,Liga 1,7,2886,1
Deltras FC,Liga 2,7,5209,2
PSMS Medan,Liga 2,6,3598,1
Bali United,Liga 1,6,5052,2
Persela Lamongan,Liga 2,10,4276,0
PSIS Semarang,Liga 2,10,6747,3
Bhayangkara Presisi Lampung FC,Liga 1,4,2342,1
Persebaya Surabaya,Liga 1,7,3230,1
PSS Sleman,Liga 2,10,5746,2
