No,Name,Pos,DOB,Minutes,Games,Club Now,Club Competition,Youth Club,Youth Club Competition
1,Fitrah Maulana,GK,2005-05-24,180,2,Persib,Liga 1,Persib,Liga 1
2,M Rhaka Syafaka,GK,2008-02-11,0,0,Persib,Liga 1,Persib,Liga 1
3,Kakang Rudianto,FB,2003-02-02,1903,28,Persib,Liga 1,Persib,Liga 1
4,Kevin Pasha,FB,2007-01-15,0,0,Persib,Liga 1,Persib,Liga 1
5,Zulkifli Lukmansyah,FB,2006-09-08,0,0,Persib,Liga 1,Persib,Liga 1
6,Robi Darwis,MF,2003-08-02,146,16,Persib,Liga 1,Persib,Liga 1
7,Nazriel Alfaro,MF,2008-02-01,13,3,Persib,Liga 1,Persib,Liga 1
8,Beckham Putra,WG,2001-10-29,1539,31,Persib,Liga 1,Persib,Liga 1
9,Athaya Zahran,WG,2006-01-22,0,0,Persib,Liga 1,Persib,Liga 1
10,Fajar Fathurrahman,FB,2002-05-29,1502,28,Persija,Liga 1,Persib,Liga 1
11,Arlyansyah,WG,2005-12-20,487,15,Persija,Liga 1,Persib,Liga 1
12,Dede Sapari,FB,2004-04-08,108,8,PSIM,Liga 1,Persib,Liga 1
13,Aqil Savik,GK,1999-01-17,2598,30,Bhayangkara,Liga 1,Persib,Liga 1
14,Sultan Jabbar,GK,2008-07-30,0,0,Bhayangkara,Liga 1,Persib,Liga 1
15,Mario Jardel,FB,2000-11-07,2584,33,Persita,Liga 1,Persib,Liga 1
16,Aep Nursofyan,FB,2006-03-12,49,4,Persita,Liga 1,Persib,Liga 1
17,Althaf Indie,WG,2003-01-06,1677,30,Persis,Liga 1,Persib,Liga 1
18,Ferdiansyah,WG,2003-07-15,156,6,Semen Padang,Liga 1,Persib,Liga 1
19,Satrio Azhar,GK,2001-05-16,0,0,Madura United,Liga 1,Persib,Liga 1
20,Sheva Sanggasi,GK,2004-05-01,0,0,Persijap,Liga 1,Persib,Liga 1
21,Raufa Aghastya,GK,2005-11-25,0,0,Persijap,Liga 1,Persib,Liga 1
22,Firman Ramadhan,FB,2003-11-07,939,15,Persijap,Liga 1,Persib,Liga 1
23,Rahmat Hidayat,FB,2002-06-19,2403,31,Persijap,Liga 1,Persib,Liga 1
24,Zahran Alamsah,MF,2003-08-06,66,5,Persijap,Liga 1,Persib,Liga 1
25,Adzikry Fadlillah,MF,2003-02-26,785,20,Persijap,Liga 1,Persib,Liga 1
26,Seva Setiadi,WG,2007-02-17,0,0,Persijap,Liga 1,Persib,Liga 1
27,Adi Satryo,GK,2001-07-07,1178,14,Arema,Liga 1,Persib,Liga 1
28,Hadi Ardiansyah,CB,2000-12-01,659,9,PSBS,Liga 1,Persib,Liga 1
29,Taufik Hidayat,CF,1999-12-16,510,20,Garudayaksa,Liga 2,Persib,Liga 1
30,Bima Reksa,FB,1999-06-21,1703,21,Barito Putera,Liga 2,Persib,Liga 1
31,Diandra Diaz,MF,2004-02-01,743,12,Bekasi FC,Liga 2,Persib,Liga 1
32,M Zaki Ali,CF,2006-03-04,23,3,PSMS,Liga 2,Persib,Liga 1
33,Jovan Al Ghony,MF,2000-04-13,46,4,Kendal Tornado,Liga 2,Persib,Liga 1
34,Razan Akbar,CB,2005-02-24,381,11,Adhyaksa,Liga 2,Persib,Liga 1
35,Galuh Nata,MF,2002-03-01,2028,26,Adhyaksa,Liga 2,Persib,Liga 1
36,Erlangga Setyo,GK,2003-04-16,643,9,PSPS,Liga 2,Persib,Liga 1
37,Dimas Pamungkas,FB,2004-07-31,778,15,Persela,Liga 2,Persib,Liga 1
38,Duta Atapelwa,MF,2001-01-28,78,6,Persela,Liga 2,Persib,Liga 1
39,Eros Dermawan,MF,2005-08-22,432,10,Persikad,Liga 2,Persib,Liga 1
40,Bhima Wibnu,FB,2000-01-07,1038,18,Persiku,Liga 2,Persib,Liga 1
41,Firman Januari,WG,2005-01-12,493,9,Persiku,Liga 2,Persib,Liga 1
42,Danu Agusta,WG,2004-08-25,12,1,Persiba,Liga 2,Persib,Liga 1
43,Arham Darmawan,WG,2006-06-20,718,11,Persipal,Liga 2,Persib,Liga 1
44,Bayan Adam,WG,2001-09-19,0,0,Sriwijaya,Liga 2,Persib,Liga 1
45,Hafizh Rizkianur,GK,2006-08-08,90,1,Persija,Liga 1,Persija,Liga 1
46,Irham Nadzhofa,GK,2007-02-11,0,0,Persija,Liga 1,Persija,Liga 1
