Club Name,Players Registered,Players with Minutes,Adjusted Total Games,Adjusted Total Minutes
PSS Sleman,18,8,89,4234
Barito Putera,20,12,166,9226
Dewa United,6,2,19,1130
Arema,7,6,59,1947
Madura United,4,2,14,386
Malut United,0,0,0,0
Persija Jakarta,27,23,301,16643
Persib Bandung,18,16,230,15239
Persita Tangerang,19,12,158,7978
PSIS Semarang,14,10,113,5297
PSM Makassar,12,9,160,8232
PSBS Biak,1,1,1,31
Persik Kediri,5,2,3,83
Persis Solo,15,13,158,7284
Semen Padang,10,7,68,3812
Bali United,19,16,173,7762
Borneo FC,14,13,90,3779
Persebaya Surabaya,19,15,213,14943
