Name,Team,MoP,Age,Nationality
Abdul Aziz Lutfi Akbar,PERSIS Solo,217,31,Indonesia
Abdul Rahman,PSM Makassar,762,22,Indonesia
Abrizal Umanailo,PERSITA Tangerang,214,28,Indonesia
Achmad Figo Ramadani,PSS Sleman,1125,23,Indonesia
Achmad Jufriyanto Tohir,PERSIB Bandung,2,38,Indonesia
Achmad Maulana Syarif,AREMA FC,2176,22,Indonesia
Achmad Subagja Baasith,Malut United FC,113,28,Indonesia
Achmad Zidan Arrosyid,PSS Sleman,41,18,Indonesia
Achmat Fahrul Aditia,PSM Makassar,251,21,Indonesia
Adam Alis Setyano,PERSIB Bandung,1827,31,Indonesia
Adhitya Harlan,Madura United FC,584,37,Indonesia
Adilson Aguero dos Santos,Bali United FC,2610,34,Brazil
Adilson Gancho Da Silva,PSM Makassar,531,27,Portugal
Aditiya Daffa Al Haqi,PS Barito Putera,1095,21,Indonesia
Aditya Warman,PERSIJA Jakarta,52,20,Indonesia
Adriano Duarte Castanheira,Malut United FC,1970,32,Portugal
Ady Eko Jayanto,PERSIK Kediri,1017,31,Indonesia
Ady Setiawan,Dewa United FC,369,30,Indonesia
Agil Munawar,PERSIK Kediri,106,28,Indonesia
Agung Mannan,Bali United FC,205,26,Indonesia
Agung Mannan,Dewa United FC,10,26,Indonesia
Ahmad Agung Setia Budi,PERSIB Bandung,64,29,Indonesia
Ahmad Agung Setia Budi,PERSIK Kediri,26,29,Indonesia
Ahmad Fahd Alchoir,PERSITA Tangerang,520,21,Indonesia
Ahmad Nufiandani,Dewa United FC,1219,30,Indonesia
Ahmad Nur Hardianto,PERSITA Tangerang,1281,30,Indonesia
Ahmad Nuri Fasya,PERSIK Kediri,990,26,Indonesia
Ahmad Rusadi,Madura United FC,1155,22,Indonesia
Ahmad Syiha Buddin,PSIS Semarang,500,24,Indonesia
Ahmad Wadil Aryadi Abidin,Malut United FC,636,21,Indonesia
Aji Kusuma,PERSITA Tangerang,769,26,Indonesia
Akbar Tanjung,PSM Makassar,2497,32,Indonesia
Al Hamra Hehanussa,PERSIK Kediri,2484,25,Indonesia
Alan José Bernardon,PSS Sleman,2839,30,Brazil
Albertine Joao Pereira ,PSM Makassar,1034,28,Guinea-Bissau
Alberto Goncalves Da Costa,PSBS Biak,746,44,Indonesia
Aldhila Ray Redondo,Malut United FC,450,29,Indonesia
Alex Martins Ferreira,Dewa United FC,2198,31,Brazil
Alexis Nahuel Messidoro,Dewa United FC,2707,28,Argentina
Alexsandro dos Ferreira Santos,PSBS Biak,2593,28,Indonesia
Alfan Suaib,PERSEBAYA Surabaya,341,21,Indonesia
Alfeandra Dewangga Santosa,PSIS Semarang,2200,23,Indonesia
Alfriyanto Nico Saputro,Dewa United FC,1670,22,Indonesia
Alhaji Gero,PS Barito Putera,775,31,Nigeria
Alhassan Wakaso,Semen Padang FC,981,33,Ghana
Aloísio Soares Neto,PSM Makassar,2626,27,Brazil
Altalariq Erfa Aqsal Ballah,Dewa United FC,2384,24,Indonesia
Althaf Indie Alrizky,PERSIS Solo,2247,22,Indonesia
Amiruddin Bagas Kaffa Arrizqi,PS Barito Putera,1159,23,Indonesia
Amiruddin Bagus Kahfi Alfikri,PS Barito Putera,619,23,Indonesia
Ananda Raehan Alief,PSM Makassar,1377,21,Indonesia
Anderson do Nascimento Carneiro,PS Barito Putera,1350,32,Brazil
Andhika Ramadhani,PERSEBAYA Surabaya,919,26,Indonesia
Andi Irfan,Madura United FC,1048,24,Indonesia
Andre Oktaviansyah,PERSEBAYA Surabaya,329,22,Indonesia
Andrean Benyamin Rindorindo,PERSITA Tangerang,446,21,Indonesia
Andriano Saputra,PERSITA Tangerang,133,21,Indonesia
Andritany Ardhiyasa,PERSIJA Jakarta,1513,33,Indonesia
Angelo Rafael Teixeira Alpoim Meneses,Dewa United FC,2532,31,Portugal
Angga Saputro,Borneo FC Samarinda,391,31,Indonesia
Arapenta Lingka Poerba,Dewa United FC,358,26,Indonesia
Ardi Idrus,PERSEBAYA Surabaya,2206,32,Indonesia
Arief Catur Pamungkas,PERSEBAYA Surabaya,2303,25,Indonesia
Ariel Geraldo Nahuelpan Osten,PSBS Biak,684,37,Argentina
Arif Setiawan,PERSITA Tangerang,296,28,Indonesia
Arjuna Agung,PSBS Biak,323,21,Indonesia
Arkhan Fikri,AREMA FC,2409,20,Indonesia
Arkhan Kaka Putra Purwanto,PERSIS Solo,489,17,Indonesia
Armando Obet Oropa,PSBS Biak,641,21,Indonesia
Arsa Ramadhan Ahmad,Madura United FC,530,21,Indonesia
Arthur Augusto da Silva,Semen Padang FC,1440,25,Brazil 
Asep Berlian,Dewa United FC,9,34,Indonesia
Asgal Habib Altarik,Borneo FC Samarinda,3,20,Indonesia
Ayom Majok ,PERSITA Tangerang,375,22,Sudan Selatan
Azyah Nur Faizin Madilesa,PSIS Semarang,4,19,Indonesia
Bagas Adi Nugroho,Bali United FC,349,28,Indonesia
Barnabas Sobor,PSBS Biak,46,22,Indonesia
Bayu Aji,AREMA FC,226,25,Indonesia
Bayu Gatra Sanggi Awan,Semen Padang FC,274,33,Indonesia
Bayu Pradana Andriatmoko,PS Barito Putera,1369,34,Indonesia
Bayu Setiawan,AREMA FC,1310,26,Indonesia
Beckham Putra Nugraha,PERSIB Bandung,1734,24,Indonesia
Bima Reksa,Semen Padang FC,747,25,Indonesia
Boris Kopitovic,Bali United FC,1295,30,Serbia
Boubakary Diarra,PSIS Semarang,2284,31,France
Braif Fatari,PERSIS Solo,274,23,Indonesia
Brandon James Wilson,Bali United FC,2495,28,Botswana
Brandon Marsel Scheunemann,AREMA FC,3,20,Indonesia
Brandon Marsel Scheunemann,PSIS Semarang,2,20,Indonesia
Brayan Edinson Angulo ,Madura United FC,804,31,Kolombia
Brendon Lucas da Silva Estevam,PERSIK Kediri,1624,30,Brazil
Brian Fatari,Dewa United FC,1135,25,Indonesia
Bruno da Cruz,PERSITA Tangerang,617,29,Brazil
Bruno De Araujo Dybal,Semen Padang FC,557,31,Brazil
Bruno Gomes de Oliveira Conceição,Semen Padang FC,1439,28,Brazil 
Bruno Moreira Soares,PERSEBAYA Surabaya,2733,26,Brazil
Carlos Eduardo Soares Mota,PERSIJA Jakarta,1544,33,Brazil
Carlos Filipe Fonseca Chaby,Semen Padang FC,1025,31,Portugal
Cássio Fernando Scheid,Malut United FC,1219,31,Brazil
Chang Jin Moon,PSS Sleman,772,31,Korea
Charisma Fathoni,PERSITA Tangerang,421,24,Indonesia
Charles Lokoli Ngoy,AREMA FC,2250,28,Australia
Charlie Thomas Scott,Semen Padang FC,428,27,England
Chi Sung Moon,PS Barito Putera,992,25,Indonesia
Choi Bokyun,AREMA FC,1191,37,Indonesia
Christian Mangaron Rontini,Madura United FC,227,25,Philippines
Christophe Nduwarugira,Borneo FC Samarinda,2843,30,Burundi
Ciro Henrique Alves Ferreira E Silva,PERSIB Bandung,2570,36,Brazil
Cleberson Martins de Souza,PSS Sleman,2674,32,Brazil
Cloudio Faiera Mutzi,PSS Sleman,7,21,Indonesia
Cois Artomoro Raya,PERSITA Tangerang,19,22,Indonesia
Cornelius Ezekiel Stewart,Semen Padang FC,2253,35,Saint Vincent and the Grenadines
Cristian Gabriel Esparza,PSBS Biak,67,32,Argentina
D. Febriato M. Uopmabin,PSBS Biak,2390,23,Indonesia
Daffa Fasya Sumawijaya,Borneo FC Samarinda,180,21,Indonesia
Dafiq Firdaus,PERSITA Tangerang,47,20,Indonesia
Daisuke Sakai,PSM Makassar,2178,28,Japan
Dalberto Luan Belo,AREMA FC,2601,30,Brazil
Damianus Adiman Putra,PSBS Biak,766,21,Indonesia
Dani Saputra,Dewa United FC,77,18,Indonesia
Danilo Almeida Alves,PSS Sleman,850,34,Brazil
David Aparecido Da Silva,PERSIB Bandung,1292,35,Brazil
Dede Sapari,PERSIK Kediri,1100,21,Indonesia
Dedi Kusnandar,PERSIB Bandung,889,33,Indonesia
Dedik Setiawan,AREMA FC,1346,30,Indonesia
Dejan Tumbas,PERSEBAYA Surabaya,1285,25,Serbia
Delfin Rumbino,PSIS Semarang,136,29,Indonesia
Dendy Santoso,AREMA FC,636,35,Indonesia
Dewa Erlangga Sapalas,Semen Padang FC,73,19,Indonesia
Dia Syayid Alhawari,PSS Sleman,613,20,Indonesia
Dicki Agung Setiawan,AREMA FC,91,26,Indonesia
Didik Wahyu Wijayance,PERSIK Kediri,74,31,Indonesia
Diego Máximo Martínez,Malut United FC,1964,29,Paraguay
Diego Robbie Michiels,Borneo FC Samarinda,343,34,Indonesia
Dika Kuswardani,Borneo FC Samarinda,245,22,Indonesia
Dillan Yabran Rinaldi,Bali United FC,1,19,Indonesia
Dimas Roni  Saputra,Semen Padang FC,371,28,Indonesia
Dimas Sukarno Putra,PSM Makassar,8,24,Indonesia
Dime Dimov,PERSEBAYA Surabaya,1332,30,Makedonia Utara
Dodi Alexvan Djin,Semen Padang FC,2427,26,Indonesia
Dominikus Dion Oktawiawan Wibowo,PSS Sleman,2019,20,Indonesia
Donni Harold Monim,PSBS Biak,244,32,Indonesia
Dony Tri Pamungkas,PERSIJA Jakarta,821,20,Indonesia
Dwi Geno Nofiansyah,Semen Padang FC,650,24,Indonesia
Eber Henrique Ferreira De Bessa,PERSITA Tangerang,1087,33,Brazil
Eduardo Lecke Kunde,PERSIS Solo,1566,27,Brazil
Ega Rizky Pramana,PSS Sleman,131,32,Indonesia
Egy Maulana Vikri,Dewa United FC,2288,24,Indonesia
Eksel Timothy Joseph Runtukahu,PS Barito Putera,989,26,Indonesia
Eky Taufik Febrianto,PERSIS Solo,1316,34,Indonesia
Ernando Ari Sutaryadi,PERSEBAYA Surabaya,2140,23,Indonesia
Esal Shahrul Muhrom,PERSITA Tangerang,580,22,Indonesia
Evan Dimas Darmono,PERSIK Kediri,23,30,Indonesia
Evandro Elmer de Carvalho Brandão,PSIS Semarang,444,34,Portugal
Everton Nascimento de Mendonça,Bali United FC,1583,31,Brazil
Ezra Harm Ruud Walian,PERSIK Kediri,1546,27,Indonesia
Fabiano Da Rosa Beltrame,PSBS Biak,2214,42,Indonesia
Fachrudin Wahyudi Aryanto,PSS Sleman,2121,36,Indonesia
Facundo Walter Aranda ,PERSIS Solo,552,25,Argentina
Fahreza Sudin,PERSITA Tangerang,771,24,Indonesia
"Faris Aditama, S.pd",PERSIK Kediri,115,37,Indonesia
Febri Hariyadi,PERSIB Bandung,115,29,Indonesia
Febrian Tri Yanto,Madura United FC,100,21,Indonesia
Feby Eka Putra,Dewa United FC,413,26,Indonesia
Feby Ramzy Wirawan,Madura United FC,270,23,Indonesia
